GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sdg_ingestion,com.sdg.ingestion.config.dataflowSettings.transformation,AddFields,26,0,0,0,11,0,6,0,6,0
sdg_ingestion,com.sdg.ingestion.config.dataflowSettings.transformation,TransformationParameters,36,0,0,0,15,0,8,0,8,0
sdg_ingestion,com.sdg.ingestion.config.dataflowSettings.transformation,Validation,26,0,0,0,11,0,6,0,6,0
sdg_ingestion,com.sdg.ingestion.config.dataflowSettings.transformation,Transformation,36,0,0,0,15,0,8,0,8,0
sdg_ingestion,com.sdg.ingestion.workers.pipeline.transformations,TransformationFactoryBuilder,56,0,3,0,10,0,6,0,4,0
sdg_ingestion,com.sdg.ingestion.workers.pipeline.transformations,TransformationFactory,24,0,0,0,5,0,3,0,3,0
sdg_ingestion,com.sdg.ingestion.workers.pipeline.transformations,TransformationApi,30,0,0,0,8,0,3,0,3,0
sdg_ingestion,com.sdg.ingestion.workers.json,JSONTools,26,0,0,0,8,0,4,0,4,0
sdg_ingestion,com.sdg.ingestion.workers.pipeline.sinks,SinkFactory,10,0,0,0,3,0,3,0,3,0
sdg_ingestion,com.sdg.ingestion.workers.pipeline.sinks,SinkApi,31,0,0,0,8,0,3,0,3,0
sdg_ingestion,com.sdg.ingestion.workers.pipeline.sinks,SinkFactoryBuilder,57,0,3,0,10,0,6,0,4,0
sdg_ingestion,com.sdg.ingestion.workers.pipeline.sources.impl,SourceJSONFlow,65,0,2,0,17,0,7,0,6,0
sdg_ingestion,com.sdg.ingestion.workers.pipeline.sinks.impl,SinkKafkaFlow,187,0,8,0,49,0,12,0,8,0
sdg_ingestion,com.sdg.ingestion.workers.pipeline.sinks.impl,SinkJSONFlow,100,0,6,0,23,0,8,0,5,0
sdg_ingestion,com.sdg.ingestion.workers.pipeline.sources,SourceFactory,24,0,0,0,5,0,3,0,3,0
sdg_ingestion,com.sdg.ingestion.workers.pipeline.sources,SourceApi,31,0,0,0,8,0,3,0,3,0
sdg_ingestion,com.sdg.ingestion.workers.pipeline.sources,SourceFactoryBuilder,50,0,2,0,9,0,5,0,4,0
sdg_ingestion,com.sdg.ingestion.config.dataflowSettings.sink,Sink,66,0,0,0,27,0,14,0,14,0
sdg_ingestion,com.sdg.ingestion,IngestionProcess,4,0,0,0,0,0,1,0,1,0
sdg_ingestion,com.sdg.ingestion,IngestionProcess.,16,0,0,0,3,0,3,0,3,0
sdg_ingestion,com.sdg.ingestion.config.dataflowSettings.source,Source,42,0,0,0,18,0,9,0,9,0
sdg_ingestion,com.sdg.ingestion.workers.pipeline,ETLTool,142,0,8,0,20,0,6,0,2,0
sdg_ingestion,com.sdg.ingestion.workers.pipeline.transformations.impl,TransformationValidateFieldsFlow,158,0,11,0,30,0,12,0,6,0
sdg_ingestion,com.sdg.ingestion.workers.pipeline.transformations.impl,TransformationAddFieldsFlow,83,0,6,0,19,0,8,0,5,0
sdg_ingestion,com.sdg.ingestion.config.dataflowSettings,Dataflows,16,0,0,0,7,0,4,0,4,0
sdg_ingestion,com.sdg.ingestion.config.dataflowSettings,Dataflow,46,0,0,0,19,0,10,0,10,0
sdg_ingestion,com.sdg.ingestion.config,IngestionSettingsBuilder.,67,0,4,0,8,0,5,0,3,0
sdg_ingestion,com.sdg.ingestion.config,IngestionSettingsBuilder,4,0,0,0,0,0,1,0,1,0
sdg_ingestion,com.sdg.ingestion.config,IngestionSettings.,48,0,2,0,3,0,13,0,12,0
sdg_ingestion,com.sdg.ingestion.config,IngestionSettingsParameters,9,0,0,0,0,0,3,0,3,0
sdg_ingestion,com.sdg.ingestion.config,Constants,3,0,0,0,1,0,1,0,1,0
sdg_ingestion,com.sdg.ingestion.config,IngestionArgsParser.,12,0,0,0,3,0,3,0,3,0
sdg_ingestion,com.sdg.ingestion.config,IngestionSettingsBuilder..anon.new OptionParser() {...},61,0,0,0,13,0,2,0,2,0
sdg_ingestion,com.sdg.ingestion.config,IngestionArgsParser,4,0,0,0,0,0,1,0,1,0
sdg_ingestion,com.sdg.ingestion.config,IngestionSettingsParameters.,26,0,0,0,5,0,5,0,5,0
sdg_ingestion,com.sdg.ingestion.config,IngestionSettings,187,0,32,0,3,0,43,0,26,0
sdg_ingestion,com.sdg.ingestion.processor,Processor,82,0,0,0,15,0,4,0,4,0
